"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-6.552744865E0,3.519243956E0,4.843372345E0,8.875911162E0
0.000000000E0,-6.552744865E0,3.468994617E0,5.094618320E0,8.995972697E0
0.000000000E0,-6.485745907E0,3.385245800E0,5.405984402E0,9.096672823E0
0.000000000E0,-6.329913139E0,3.299104214E0,5.774479389E0,9.181312607E0
0.000000000E0,-6.107380867E0,3.229712248E0,6.183950901E0,9.272129799E0
0.000000000E0,-5.855835438E0,3.167499065E0,6.586244106E0,9.364959713E0
0.000000000E0,-5.599802971E0,3.095714331E0,6.959524632E0,9.453899916E0
0.000000000E0,-5.350949764E0,3.035594702E0,7.309175968E0,9.553614599E0
0.000000000E0,-5.128118038E0,2.985345364E0,7.642077446E0,9.675289621E0
0.000000000E0,-4.874478817E0,3.002095222E0,7.948358536E0,9.795382732E0
0.000000000E0,-4.610969067E0,3.028416157E0,8.202297211E0,9.884837868E0
0.000000000E0,-4.342973232E0,3.085843801E0,8.412865639E0,9.957919297E0
7.025010000E-4,-4.091427803E0,3.160320520E0,8.606683731E0,1.004004044E1
3.226512000E-3,-3.897608995E0,3.258426189E0,8.786444664E0,1.014939934E1
5.750522000E-3,-3.737289906E0,3.380460262E0,8.937192917E0,1.026003239E1
8.274532000E-3,-3.581457376E0,3.504886866E0,9.075976372E0,1.036746912E1
1.079854300E-2,-3.449851990E0,3.631706476E0,9.188439369E0,1.046509382E1
1.332255300E-2,-3.339782238E0,3.775574923E0,9.308379173E0,1.058560505E1
1.584656400E-2,-3.265604734E0,3.880859137E0,9.411270142E0,1.069098908E1
1.837057400E-2,-3.224926710E0,3.978965044E0,9.495018959E0,1.078831313E1
2.089458500E-2,-3.229712248E0,4.031607151E0,9.554840088E0,1.086185373E1
2.341854300E-2,-3.248854876E0,4.029214382E0,9.573982239E0,1.088350874E1
2.594250100E-2,-3.284747362E0,3.993321896E0,9.480662346E0,1.079903438E1
2.846646000E-2,-3.346960783E0,3.943072557E0,9.308379173E0,1.064875065E1
3.099036600E-2,-3.440280676E0,3.868895054E0,9.066405296E0,1.044047820E1
3.351427200E-2,-3.569493294E0,3.730111361E0,8.803194046E0,1.020545141E1
3.603817800E-2,-3.677469254E0,3.602992773E0,8.522934914E0,9.957196221E0
3.856208500E-2,-3.821038723E0,3.514458179E0,8.281260490E0,9.773997572E0
4.108599100E-2,-3.978965044E0,3.401995659E0,8.022536278E0,9.579500280E0
4.360989700E-2,-4.103391647E0,3.294318676E0,7.761718273E0,9.377346592E0
4.613380300E-2,-3.770789385E0,3.189034462E0,7.213462830E0,8.742015750E0
4.865771000E-2,-3.744468451E0,3.143570662E0,6.760920525E0,8.343448137E0
5.118161600E-2,-4.096213341E0,3.059522867E0,6.658029079E0,8.394581296E0
5.370552200E-2,-4.543970108E0,3.002095222E0,6.614958286E0,8.568425363E0
5.622942800E-2,-4.998905659E0,2.956631422E0,6.586244106E0,8.781192321E0
5.875333500E-2,-5.386841774E0,2.925524712E0,6.576673031E0,8.990516520E0
6.127724100E-2,-5.623731613E0,2.915953398E0,6.516852379E0,9.088372044E0
6.380114700E-2,-5.736194134E0,2.923131943E0,6.420840263E0,9.092624109E0
6.632505300E-2,-5.745765209E0,2.906382322E0,6.282056808E0,8.995838693E0
6.884896000E-2,-5.702694416E0,2.863311291E0,6.157629967E0,8.867676243E0
7.137286600E-2,-5.626124382E0,2.793919563E0,6.033203125E0,8.709695864E0
7.389677200E-2,-5.559125423E0,2.700599432E0,5.911169052E0,8.552136127E0
7.642067800E-2,-5.535196781E0,2.588136673E0,5.846263885E0,8.456692986E0
7.894458500E-2,-5.559125423E0,2.499303341E0,5.805585861E0,8.417554268E0
8.146849100E-2,-5.539982796E0,2.446661234E0,5.779264927E0,8.371228325E0
8.399239700E-2,-5.511268616E0,2.427518606E0,5.767300606E0,8.338386212E0
8.651635500E-2,-5.429912567E0,2.456232548E0,5.796014786E0,8.313291539E0
8.904031400E-2,-5.350949764E0,2.475374937E0,5.827121258E0,8.289480479E0
9.156427200E-2,-5.264508724E0,2.530709028E0,5.865406513E0,8.277833887E0
9.408823000E-2,-5.178367138E0,2.571387053E0,5.949454308E0,8.295994464E0
9.661218900E-2,-5.085047245E0,2.619243383E0,6.064310074E0,8.336306020E0
9.913614700E-2,-4.998905659E0,2.669492722E0,6.186343670E0,8.389642256E0
1.016601050E-1,-4.891228676E0,2.710170746E0,6.346662998E0,8.458680432E0
1.041840640E-1,-4.654039860E0,2.664707184E0,6.512066841E0,8.436098976E0
1.067080220E-1,-4.429114819E0,2.657528639E0,6.679564476E0,8.443701684E0
1.092319800E-1,-4.350151539E0,2.784348249E0,6.830312252E0,8.563269180E0
1.117559390E-1,-4.319045067E0,2.915953398E0,6.978667259E0,8.709691798E0
1.142798970E-1,-4.259224415E0,3.028416157E0,7.120142937E0,8.832255231E0
1.168038550E-1,-4.163212299E0,3.136392355E0,7.206284523E0,8.893808536E0
1.193278140E-1,-4.055535316E0,3.253640652E0,7.261319637E0,8.930862616E0
1.218517720E-1,-3.902394533E0,3.325425386E0,7.311568737E0,8.930071360E0
1.243757300E-1,-3.744468451E0,3.370888948E0,7.361817837E0,8.920779010E0
1.268996890E-1,-3.559921980E0,3.437887907E0,7.435995579E0,8.932309221E0
1.294236470E-1,-3.382853031E0,3.497708559E0,7.531708241E0,8.966843860E0
1.319476050E-1,-3.184248686E0,3.547957659E0,7.601399422E0,8.972664956E0
1.344715640E-1,-3.033201694E0,3.636492252E0,7.735397339E0,9.069771795E0
1.369955220E-1,-2.896811008E0,3.744468451E0,7.922037601E0,9.228826456E0
1.395194800E-1,-2.817847729E0,3.849752426E0,8.070392609E0,9.375078476E0
1.420434390E-1,-2.719742060E0,3.955036640E0,8.089534760E0,9.406374664E0
1.445673970E-1,-2.681456804E0,4.043570995E0,8.075178146E0,9.420678271E0
1.470913550E-1,-2.645564556E0,4.134498596E0,8.051250458E0,9.429513476E0
1.496153140E-1,-2.635993242E0,4.184747696E0,8.003393173E0,9.408234475E0
1.521392720E-1,-2.667099953E0,4.172783375E0,7.998608112E0,9.407617923E0
1.546632300E-1,-2.714956284E0,4.060320854E0,7.955537319E0,9.335296840E0
1.571871890E-1,-2.731706142E0,3.806681633E0,7.886145115E0,9.173021764E0
1.597111470E-1,-2.686242580E0,3.430709362E0,7.843074322E0,8.972150285E0
1.622351050E-1,-2.614457846E0,2.973381281E0,7.845467091E0,8.787931494E0
1.647590640E-1,-2.528316259E0,2.609672308E0,7.867002487E0,8.665592928E0
1.672830220E-1,-2.475374937E0,2.219342947E0,7.838288784E0,8.514207847E0
1.698069800E-1,-2.451446772E0,1.778764486E0,7.685148239E0,8.260453851E0
1.723309390E-1,-2.477767944E0,1.405484200E0,7.574779034E0,8.092712600E0
1.748548970E-1,-2.566601276E0,1.098903775E0,7.524529934E0,8.025807271E0
1.773788550E-1,-2.729313374E0,8.377870321E-1,7.603792191E0,8.122111442E0
1.799028140E-1,-2.939881802E0,6.272186637E-1,7.716254711E0,8.281116774E0
1.824267720E-1,-3.224926710E0,4.477569461E-1,7.816753387E0,8.467719415E0
1.849507300E-1,-3.540779352E0,3.017947674E-1,7.907680511E0,8.669464203E0
1.874746890E-1,-3.854538202E0,1.722832322E-1,8.020143509E0,8.899991470E0
1.899986470E-1,-4.211368084E0,9.332008660E-2,8.125427246E0,9.152425783E0
1.925226050E-1,-4.546362877E0,4.546362907E-2,8.219046593E0,9.392774310E0
1.950465640E-1,-4.857728958E0,-4.785645287E-3,8.278866768E0,9.598811827E0
1.975705220E-1,-5.101797104E0,-3.349951655E-2,8.333902359E0,9.771559980E0
2.000944800E-1,-5.321936607E0,-5.503492057E-2,8.434400558E0,9.973221690E0
2.026184390E-1,-5.501697540E0,-5.742774159E-2,8.577970505E0,1.019085628E1
